model_name,technique_name,total_runs,valid_count,valid_pct
"Gemma-SEA-LION v4 4B","chain-of-thought","50","49","98.00"
"Gemma-SEA-LION v4 4B","few-shot","50","10","20.00"
"Gemma-SEA-LION v4 4B","structured-output","50","47","94.00"
"Gemma-SEA-LION v4 4B","zero-shot","50","38","76.00"
"Llama 3.2 3B Instruct","chain-of-thought","50","37","74.00"
"Llama 3.2 3B Instruct","few-shot","50","50","100.00"
"Llama 3.2 3B Instruct","structured-output","50","39","78.00"
"Llama 3.2 3B Instruct","zero-shot","48","19","39.58"
"MedGemma 4B","chain-of-thought","50","4","8.00"
"MedGemma 4B","few-shot","50","9","18.00"
"MedGemma 4B","structured-output","50","10","20.00"
"MedGemma 4B","zero-shot","50","16","32.00"
"Phi-4-mini 3.8B Instruct","chain-of-thought","50","36","72.00"
"Phi-4-mini 3.8B Instruct","few-shot","50","48","96.00"
"Phi-4-mini 3.8B Instruct","structured-output","50","39","78.00"
"Phi-4-mini 3.8B Instruct","zero-shot","50","36","72.00"
"Qwen 2.5 3B Instruct","chain-of-thought","3","3","100.00"
"Qwen 2.5 3B Instruct","few-shot","24","20","83.33"
"Qwen 2.5 3B Instruct","structured-output","29","29","100.00"
"Qwen 2.5 3B Instruct","zero-shot","50","50","100.00"
